Indicador,Any,Resposta,Edat,Sexe,Classe social,Estudis,Territoris,percentatge,poblacio_absoluta,mostra,valor_absolut
Malestar emocional,2026,Sí,75 i més,Dona,Classe III,Estudis primaris i sense estudis,Camp de Tarragona,30.5,561111,1518,171139
Malestar emocional,2026,No,75 i més,Dona,Classe III,Estudis primaris i sense estudis,Camp de Tarragona,69.5,1394016,1565,968841
Malestar emocional,2023,Sí,45 - 64,Home,Classe II,Estudis universitaris,Girona,23.5,1217376,5795,286083
Malestar emocional,2023,No,45 - 64,Home,Classe II,Estudis universitaris,Girona,76.5,838969,3065,641811
Malestar emocional,2027,Sí,45 - 64,Home,Classe II,Estudis secundaris,Barcelona Ciutat,25.0,953107,747,238277
Malestar emocional,2027,No,45 - 64,Home,Classe II,Estudis secundaris,Barcelona Ciutat,75.0,1366700,1380,1025025
Malestar emocional,2024,Sí,45 - 64,Home,Classe III,Estudis universitaris,Terres de l’Ebre,25.7,476930,1952,122571
Malestar emocional,2024,No,45 - 64,Home,Classe III,Estudis universitaris,Terres de l’Ebre,74.3,1473529,6778,1094832
Malestar emocional,2023,Sí,45 - 64,Dona,Classe III,Estudis universitaris,Àrea Metropolitana Nord,28.7,681779,2863,195671
Malestar emocional,2023,No,45 - 64,Dona,Classe III,Estudis universitaris,Àrea Metropolitana Nord,71.3,311865,979,222360
Malestar emocional,2026,Sí,65 - 74,Home,Classe II,Estudis primaris i sense estudis,Cat. Central,28.6,869930,781,248800
Malestar emocional,2026,No,65 - 74,Home,Classe II,Estudis primaris i sense estudis,Cat. Central,71.4,1071077,2698,764749
Malestar emocional,2025,Sí,75 i més,Dona,Classe III,Estudis primaris i sense estudis,Camp de Tarragona,32.1,441773,1475,141809
Malestar emocional,2025,No,75 i més,Dona,Classe III,Estudis primaris i sense estudis,Camp de Tarragona,67.9,1445677,3455,981615
Malestar emocional,2023,Sí,65 - 74,Dona,Classe II,Estudis primaris i sense estudis,Àrea Metropolitana Nord,16.0,1220337,1739,195254
