VARIACIONS INTERANUALS MERCAT DOMÈSTIC;;;;;;;
;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;69,10%;78,70%;;;;;
Càmpings;47,70%;56,10%;;;;;
Turisme Rural;48,80%;41,20%;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-29,30%;-28,70%;;;;;
Càmpings;-8,70%;-1,90%;;;;;
Turisme Rural;-20,70%;-52,60%;;;;;
;;;;;;;
MERCAT DOMÈSTIC;ESTADA MITJANA;;;;;;
Hotels;2,1;;;;;;
Càmpings;3,6;;;;;;
Turisme Rural;2,6;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
;;;;;;;
