VARIACIONS INTERANUALS MERCAT ESTRANGER;;
;;
% var. Interanual 21/20;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS
Establiments hotelers;78,80%;131,60%
Càmpings;146,40%;102,40%
Turisme Rural;352,30%;175,20%
;;
% var. Interanual 21/19;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS
Establiments hotelers;-73,10%;-76,40%
Càmpings;-68,30%;-68,20%
Turisme Rural;-66,10%;-67,40%
;;
MERCAT DOMÈSTIC;ESTADA MITJANA;
Hotels;3,1;
Càmpings;5,3;
Turisme Rural;3,1;
;;
;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;
