POSICIONAMENT ESTABLIMENTS CËMPINGS DESEMBRE 2021;;;;;;;;;;
;;;;;;;;;;
;Viatgers;Var.Inter.Viatgers 20 (%);Var.Inter.Viatgers 19 (%);Pernoctacions;Var. Inter.Pern. 20 (%);Var. Inter.Pern 19 (%);Ocupaci— (%);Var. Inter.Ocu 20 (en pp);Var. Inter.Ocu 19 (en pp);
Girona;1.214.369;ND;-11,20%;5.857.663;ND;-23,30%;38,7;6,9;-3,2;
Tarragona;1.026.391;ND;-3,60%;4.940.766;ND;-16,80%;44,1;9,9;-3,7;
Lleida;232.315;ND;16,80%;806.390;ND;25,20%;42,4;-0,6;2,6;
Entorn de Barcelona;557.780;55,60%;-26,20%;2.110.387;62,70%;-28,40%;27,8;-12,2;9,4;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboraci— pr˜pia del LABturisme en base a dades de l'Enquesta d'ocupaci— en allotjaments de l'INE.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
