SINTESI ANUAL 2021;;;;;;;;
;;;;;;;;
;Número;var. Interanual '20 (%);var Interanual ´19;;;;;
Viatgers;2.395.249;67,40%;-49,50%;;;;;
Pernoctacions;6.620.925;82,80%;-54,20%;;;;;
Establiments allotjament oberts;891;35,10%;-18,70%;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;71,40%;28,60%;;;;;;
Pernoctacions;66,00%;34,00%;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
;;;;;;;;
