VARIACIONS INTERANUALS TURISME RURAL;;;;;;;;;;;
% var. Interanual '20;;;;;;;;;;;
;;;;;;;;;;;
TURISME RURAL;Alt Penedès;Anoia;Bages;Baix Llobregat;Berguedà;Garraf;Maresme;Moianès;Osona;Vallès Occidental;Vallès Oriental
Viatgers;16,2%;185,1%;421,1%;NP;241,2%;1113,3%;139,2%;371,8%;144,4%;NP;234,1%
Pernoctacions;20,8%;313,1%;678,2%;NP;242,5%;1957,1%;145,1%;471,5%;182,2%;NP;213,0%
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a les dades de Tourism Data System.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
