VARIACIONS INTERANUALS MERCAT ESTRANGER;;;;;;;
;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;309,5%;293,0%;;;;;
Càmpings;2245,9%;3184,3%;;;;;
Turisme Rural;2186,4%;3686,4%;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-48,9%;-42,7%;;;;;
Càmpings;68,0%;-9,1%;;;;;
Turisme Rural;-65,1%;-73,2%;;;;;
;;;;;;;
MERCAT DOMÈSTIC;ESTADA MITJANA;;;;;;
Hotels;2,3;;;;;;
Càmpings;3,5;;;;;;
Turisme Rural;1,7;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
;;;;;;;
