VARIACIONS INTERANUALS MERCAT DOMÈSTIC;;
;;
% var. Interanual 21/20;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS
Establiments hotelers;nd;nd
Càmpings;nd;nd
Turisme Rural;nd;nd
;;
% var. Interanual 21/19;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS
Establiments hotelers;-59,80%;-68,10%
Càmpings;-24,50%;-24,30%
Turisme Rural;-57,20%;-46,80%
;;
MERCAT DOMÈSTIC;ESTADA MITJANA;
Hotels;1,9;
Càmpings;3;
Turisme Rural;2,9;
;;
;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;
Nota: Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0;;
