POSICIONAMENT ESTABLIMENTS CÀMPINGS ABRIL 2021;;;;;;;;;;
;;;;;;;;;;
;Ocupació;Viatgers;Pernoctacions;Var. Ocupació 2019;Var.Viatgers 2019;Var. Pernoctacions 2019;;;;
Girona;29,1;46.811;144.093;-2,8;-54,9%;-61,5%;;;;
Tarragona;27,3;53.404;195.754;-10,4;-53,0%;-61,2%;;;;
Lleida;35,9;11.316;36.060;-34,2;-11,6%;5,5%;;;;
Entorn de Barcelona;35,9;41.152;125.711;-7,8;-43,7%;-49,5%;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
Nota: Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
