ESTABLIMENTS HOTELERS ABRIL 2021;;;;;;
;;;;;;
;Ocupació;Viatgers;Pernoctacions;Var. Ocupació 2019;Var.Viatgers 2019;Var. Pernoctacions 2019
Girona;20,00%;65.744;115.250;-31,6pp;-81,10%;-88,50%
Tarragona;21,50%;32.803;61.035;-31,8pp;-87,60%;-91,40%
Lleida;21,20%;24.692;52.414;-7,65pp;-62,50%;-59,90%
Entorn de Barcelona;22,50%;72.944;131.960;-56,8pp;-76,00%;-83,30%
Barcelonès;20,30%;104.815;217.513;-54,3pp;-87,00%;-89,20%
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;
Nota: Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0.;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
