POSICIONAMENT ESTABLIMENTS TURISME RURAL ABRIL 2021;;;;;;;;;;
;;;;;;;;;;
;Ocupació;Viatgers;Pernoctacions;Var. Ocupació 2019;Var.Viatgers 2019;Var. Pernoctacions 2019;;;;
Girona;10,4;7.269;17.823;10,00;-51,1%;-54,7%;;;;
Tarragona;7,5;1.641;4.677;-3,9;-67,8%;-62,3%;;;;
Lleida;7,1;2.430;7.374;-4,6;-56,2%;-47,3%;;;;
Entorn de Barcelona;13,4;5.317;16.773;-6,4;-60,8%;-46,7%;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
Nota: Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
