SINTESI ABRIL 2021;;;;;;;;
;Número;var. Interanual '20 (%);var. Interanual '19 (%);;;;;
Viatgers;119.413;nc;-69,4%;;;;;
Pernoctacions;296.444;nc;-72,3%;;;;;
Establiments allotjaments oberts;844;nc;-24,8%;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;83,4%;16,6%;;;;;;
Pernoctacions;81,4%;18,6%;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
Nota: Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0;;;;;;;;
