VARIACIONS INTERANUALS MERCAT ESTRANGER;;
% var. Interanual 21/20;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;340,1%;398,8%
Càmpings;228,1%;117,1%
Turisme Rural;582,3%;555,4%
;;
% var. Interanual 21/19;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;-56,3%;-62,5%
Càmpings;-60,0%;-60,1%
Turisme Rural;-41,3%;-54,3%
;;
MERCAT ESTRANGER;ESTADA MITJANA;
Hotels;3,8;
Càmpings;6,3;
Turisme Rural;4,2;
;;
;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;
