POSICIONAMENT ESTABLIMENTS TURISME RURAL AGOST 2021;;;;;;;;;;
;;;;;;;;;;
;Viatgers;Var.Inter.Viatgers 20 (%);Var.Inter.Viatgers 19 (%);Pernoctacions;Var. Inter.Pern. 20 (%);Var. Inter.Pern 19 (%);Ocupació (%);Var. Inter.Ocu 20 (en pp);Var. Inter.Ocu 19 (en pp);
Girona;26.990;8,5%;2,2%;112.939;-0,4%;-10,3%;53,4;-2,5;-4,4;
Tarragona;4.933;-26,5%;-30,2%;27.974;3,5%;-5,1%;34,6;0,2;-3,5;
Lleida;13.057;9,2%;25,6%;59.514;3,5%;-5,1%;45,3;-1,0;14,0;
Entorn de Barcelona;18.022;9,9%;-3,2%;79.671;1,8%;-6,4%;49,5;-4,9;-0,4;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
