SINTESI AGOST 2021;;;;;;;;
;;;;;;;;
;Número;var. Interanual '20 (%);var. Interanual '19 (%);;;;;
Viatgers;408.567;60,8%;-33,0%;;;;;
Pernoctacions;1.573.756;73,2%;-39,5%;;;;;
Establiments allotjaments oberts;1.090;11,7%;-9,9%;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;61,8%;38,2%;;;;;;
Pernoctacions;59,1%;40,9%;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
;;;;;;;;
