VARIACIONS INTERANUALS ESTABLIMENTS HOTELERS;;;;;;;;;;;;
% var. Interanual '20;;;;;;;;;;;;
;;;;;;;;;;;;
ESTABLIMENTS HOTELERS;Alt Penedès;Anoia;Bages;Baix Llobregat;Berguedà;Garraf;Maresme;Moianès;Osona;Vallès Occidental;Vallès Oriental;
Viatgers;148,2%;56,0%;64,8%;108,3%;65,4%;170,9%;374,8%;123,4%;178,0%;47,9%;58,1%;
Pernoctacions;96,6%;36,9%;42,9%;121,8%;58,0%;168,4%;439,6%;43,4%;210,6%;113,7%;49,0%;
;;;;;;;;;;;;
;;;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a les dades de Tourism Data System.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
