VARIACIONS INTERANUALS MERCAT DOMÈSTIC;;;;;;;
;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;99,6%;102,9%;;;;;
Càmpings;68,7%;51,3%;;;;;
Turisme Rural;106,8%;151,9%;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-14,5%;-12,1%;;;;;
Càmpings;-21,9%;-5,1%;;;;;
Turisme Rural;-23,3%;-24,1%;;;;;
;;;;;;;
MERCAT DOMÈSTIC;ESTADA MITJANA;;;;;;
Hotels;1,9;;;;;;
Càmpings;2,9;;;;;;
Turisme Rural;2,7;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
;;;;;;;
