SINTESI DESEMBRE 2021;;;;;;;;
;;;;;;;;
;Número;var. Interanual '20 (%);var. Interanual '19 (%);;;;;
Viatgers;155.298;141,0%;-28,4%;;;;;
Pernoctacions;339.906;179,9%;-24,8%;;;;;
Establiments allotjaments oberts;888;24,7%;-7,9%;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;67,5%;32,5%;;;;;;
Pernoctacions;64,3%;35,7%;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
;;;;;;;;
