VARIACIONS INTERANUALS - ESTABLIMENTS OBERTS;;;;;;;;
% var. Interanual 21/20;;;;;;;;
TIPOLOGIA;ESTABLIMENTS OBERTS;;;;;;;
Establiments hotelers;36,9%;;;;;;;
Càmpings;0,0%;;;;;;;
Turisme Rural;18,5%;;;;;;;
;;;;;;;;
% var. Interanual 21/19;;;;;;;;
TIPOLOGIA;ESTABLIMENTS OBERTS;;;;;;;
Establiments hotelers;-5,6%;;;;;;;
Càmpings;18,8%;;;;;;;
Turisme Rural;-10,2%;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
