VARIACIONS INTERANUALS MERCAT DOMÈSTIC;;;;;;;
;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;119,0%;114,3%;;;;;
Càmpings;16,0%;22,2%;;;;;
Turisme Rural;0,1%;7,1%;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-1,5%;-8,8%;;;;;
Càmpings;11,8%;-0,1%;;;;;
Turisme Rural;30,9%;61,6%;;;;;
;;;;;;;
MERCAT DOMÈSTIC;ESTADA MITJANA;;;;;;
Hotels;2,1;;;;;;
Càmpings;3,9;;;;;;
Turisme Rural;3,2;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
;;;;;;;
