VARIACIONS INTERANUALS MERCAT ESTRANGER;;
% var. Interanual 21/20;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;163,1%;153,5%
Càmpings;40,0%;34,9%
Turisme Rural;279,7%;136,3%
;;
% var. Interanual 21/19;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;-68,3%;-77,8%
Càmpings;-66,8%;-72,4%
Turisme Rural;-63,7%;-78,1%
;;
MERCAT ESTRANGER;ESTADA MITJANA;
Hotels;3,0;
Càmpings;5,4;
Turisme Rural;2,7;
;;
;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;
