POSICIONAMENT ESTABLIMENTS CÀMPINGS JULIOL 2021;;;;;;;;;;
;;;;;;;;;;
;Viatgers;Var.Inter.Viatgers 20 (%);Var.Inter.Viatgers 19 (%);Pernoctacions;Var. Inter.Pern. 20 (%);Var. Inter.Pern 19 (%);Ocupació (%);Var. Inter.Ocu 20 (en pp);Var. Inter.Ocu 19 (en pp);
Girona;270.493;48,8%;-5,1%;1.392.520;52,3%;-29,9%;42,5;9,4;-10,2;
Tarragona;201.274;55,4%;5,9%;1.076.005;67,5%;-13,3%;52,0;14,7;-7,8;
Lleida;49.744;49,7%;41,4%;183.493;67,5%;-13,3%;43,8;5,6;4,8;
Entorn de Barcelona;95.983;18,9%;-16,1%;397.573;24,4%;-32,3%;48,9;4,0;-8,3;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
