ESTABLIMENTS HOTELERS JULIOL 2021;;;;;;;;;;
;;;;;;;;;;
;Viatgers;Var.Inter.Viatgers 20 (%);Var.Inter.Viatgers 19 (%);Pernoctacions;Var. Inter.Pern. 20 (%);Var. Inter.Pern 19 (%);Ocupació (%);Var. Inter.Ocu 20 (en pp);Var. Inter.Ocu 19 (en pp);
Girona;426.288;39,6%;-21,3%;1.253.662;62,0%;-41,1%;50,8;11,61;-19,32;
Tarragona;373.573;103,4%;-20,7%;1.046.150;130,1%;-45,9%;51,7;18,0;-25,9;
Lleida;91.489;69,5%;-4,6%;203.710;61,9%;-2,0%;41,9;12,2;2,1;
Entorn de Barcelona;254.232;133,2%;-44,2%;612.446;130,6%;-62,3%;40,6;10,9;-32,1;
Barcelonès;372.416;248,1%;-57,3%;998.564;305,8%;-55,9%;46,7;21,9;-34,7;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
