POSICIONAMENT ESTABLIMENTS TURISME RURAL JULIOL 2021;;;;;;;;;;
;;;;;;;;;;
;Viatgers;Var.Inter.Viatgers 20 (%);Var.Inter.Viatgers 19 (%);Pernoctacions;Var. Inter.Pern. 20 (%);Var. Inter.Pern 19 (%);Ocupació (%);Var. Inter.Ocu 20 (en pp);Var. Inter.Ocu 19 (en pp);
Girona;21.463;-2,3%;-6,1%;72.065;-7,5%;-10,1%;35,1;-4,1;-1,4;
Tarragona;4.231;-22,4%;-12,3%;15.601;-3,8%;-8,4%;20,9;0,1;-1,7;
Lleida;9.730;10,0%;22,3%;31.789;-3,8%;-8,4%;26,1;-1,7;9,7;
Entorn de Barcelona;16.507;8,9%;1,7%;52.611;12,9%;0,8%;34,5;0,3;3,5;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
