VARIACIONS INTERANUALS MERCAT DOMÈSTIC;;;;;;;
;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;nc;nc;;;;;
Càmpings;nc;nc;;;;;
Turisme Rural;nc;nc;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-18,2%;-17,8%;;;;;
Càmpings;-15,9%;-1,3%;;;;;
Turisme Rural;-8,2%;1,3%;;;;;
;;;;;;;
MERCAT DOMÈSTIC;ESTADA MITJANA;;;;;;
Hotels;2,0;;;;;;
Càmpings;3,4;;;;;;
Turisme Rural;2,2;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
Les variacions 21/20 no són calculables (nc) degut a que les dades de 2020 són “0” o prop de “0” pel tancament forçós arrel de la crisi sanitària ;;;;;;;
de la COVID-19.Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0;;;;;;;
