VARIACIONS INTERANUALS - ESTABLIMENTS OBERTS;
% var. Interanual 21/20;
TIPOLOGIA;ESTABLIMENTS OBERTS
Establiments hotelers;nc
Càmpings;nc
Turisme Rural;nc
;
% var. Interanual 21/19;
TIPOLOGIA;ESTABLIMENTS OBERTS
Establiments hotelers;-22,5%
Càmpings;-5,0%
Turisme Rural;-14,4%
;
;
;
;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;
Nota: Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0;
