VARIACIONS INTERANUALS MERCAT ESTRANGER;;
% var. Interanual 21/20;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;nc;nc
Càmpings;nc;nc
Turisme Rural;nc;nc
;;
% var. Interanual 21/19;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;-83,9%;-90,2%
Càmpings;-82,9%;-82,2%
Turisme Rural;-74,7%;-78,9%
;;
MERCAT ESTRANGER;ESTADA MITJANA;
Hotels;2,4;
Càmpings;4,3;
Turisme Rural;2,1;
;;
;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;
Les variacions 21/20 no són calculables (nc) degut a que les dades de 2020 són “0” o prop de “0” pel tancament forçós arrel de la crisi sanitària ;;
de la COVID-19.Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0;;
