POSICIONAMENT ESTABLIMENTS CÀMPINGS JUNY 2021;;;;;;;;;;
;;;;;;;;;;
;Ocupació;Viatgers;Pernoctacions;Var. Ocupació 2019;Var.Viatgers 2019;Var. Pernoctacions 2019;;;;
Girona;29,40%;180.633;667.039;-11,1 pp;-18,1%;-36,9%;;;;
Tarragona;40,5%;160.201;623.710;+2,3 pp;-11,9%;-28,4%;;;;
Lleida;33,7%;21.262;57.314;+1,6 pp;4,4%;-28,4%;;;;
Entorn de Barcelona;41,0%;73.539;255.966;-10,6 pp;-36,7%;-32,7%;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
Nota: Les variacions 21/20 estan disponibles, tant sols, per algunes províncies i algunes tipologies d’allotjament. La resta no són calculables (nc) degut a que;;;;;;;;;;
les dades de 2020 són “0” o prop de “0”  pel tancament forçós arrel de la crisi sanitària de la COVID-19.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
