ESTABLIMENTS HOTELERS JUNY 2021;;;;;;
;;;;;;
;Ocupació;Viatgers;Pernoctacions;Var. Ocupació 2019;Var.Viatgers 2019;Var. Pernoctacions 2019
Girona;33,70%;288.825;612.332;-26,5 pp;-42,9%;-62,5%
Tarragona;38,10%;232.330;498.414;-13,1 pp;-46,5%;-68,8%
Lleida;28,60%;52.758;102.476;3,4 pp;-38,5%;-30,2%
Entorn de Barcelona;31,70%;176.423;317.441;-38,0 pp;-60,8%;-78,0%
Barcelonès;33,50%;242.508;576.488;-42,9 pp;-70,6%;-71,7%
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;
Nota: Les variacions 21/20 estan disponibles, tant sols, per algunes províncies i algunes tipologies d’allotjament. La resta no són calculables (nc) degut a que;;;;;;
les dades de 2020 són “0” o prop de “0”  pel tancament forçós arrel de la crisi sanitària de la COVID-19.;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
