VARIACIONS INTERANUALS MERCAT DOMÈSTIC;;;;;;;
;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;nd;nd;;;;;
Càmpings;nd;nd;;;;;
Turisme Rural;nd;nd;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-46,0%;-50,5%;;;;;
Càmpings;-13,6%;-5,4%;;;;;
Turisme Rural;-17,9%;-17,2%;;;;;
;;;;;;;
MERCAT DOMÈSTIC;ESTADA MITJANA;;;;;;
Hotels;1,9;;;;;;
Càmpings;2,6;;;;;;
Turisme Rural;1,9;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
Les variacions 21/20 no són calculables (nc) degut a que les dades de 2020 són “0” o prop de “0” pel tancament forçós arrel de la crisi sanitària ;;;;;;;
de la COVID-19.Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0;;;;;;;
