VARIACIONS INTERANUALS - ESTABLIMENTS OBERTS;;;;;;;
% var. Interanual 21/20;;;;;;;
TIPOLOGIA;ESTABLIMENTS OBERTS;;;;;;
Establiments hotelers;nd;;;;;;
Càmpings;nd;;;;;;
Turisme Rural;nd;;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
TIPOLOGIA;ESTABLIMENTS OBERTS;;;;;;
Establiments hotelers;-35,2%;;;;;;
Càmpings;-32,0%;;;;;;
Turisme Rural;-15,3%;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
Nota: Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0;;;;;;;
