VARIACIONS INTERANUALS MERCAT ESTRANGER;;
% var. Interanual 21/20;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;nd;nd
Càmpings;nd;nd
Turisme Rural;nd;nd
;;
% var. Interanual 21/19;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;-88,70%;-92,10%
Càmpings;-93,10%;-89,50%
Turisme Rural;-93,50%;-93,80%
;;
MERCAT ESTRANGER;ESTADA MITJANA;
Hotels;2,3;
Càmpings;6,1;
Turisme Rural;2,0;
;;
;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;
Les variacions 21/20 no són calculables (nc) degut a que les dades de 2020 són “0” o prop de “0” pel tancament forçós arrel de la crisi sanitària ;;
de la COVID-19.Donat el tancament de l’activitat turística a l’abril de 2020, no es poden representar les variacions anuals 2021/2020, atès que els valors són 0;;
