POSICIONAMENT ESTABLIMENTS CÀMPINGS MAIG 2021;;;;;;;;;;
;;;;;;;;;;
;Ocupació;Viatgers;Pernoctacions;Var. Ocupació 2019;Var.Viatgers 2019;Var. Pernoctacions 2019;;;;
Girona;21,9%;88.322;246.003;-5,5 pp;-19,2%;-43,1%;;;;
Tarragona;32,2%;105.123;325.111;-5,5 pp;3,1%;-34,4%;;;;
Lleida;37,4%;13.612;34.919;+3,2 pp;31,8%;-34,4%;;;;
Entorn de Barcelona;39,2%;54.456;148.062;-5,8 pp;-35,2%;-37,6%;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
Nota: Les variacions 21/20 estan disponibles, tant sols, per algunes províncies i algunes tipologies d’allotjament. La resta no són calculables (nc) degut a que;;;;;;;;;;
les dades de 2020 són “0” o prop de “0”  pel tancament forçós arrel de la crisi sanitària de la COVID-19.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
