ESTABLIMENTS HOTELERS MAIG 2021;;;;;;
;;;;;;
;Ocupació;Viatgers;Pernoctacions;Var. Ocupació 2019;Var.Viatgers 2019;Var. Pernoctacions 2019
Girona;26,20%;164.145;282.698;-20,6 pp;-57,76%;-74,65%
Tarragona;22,40%;81.664;124.336;-30,9 pp;-74,21%;-88,15%
Lleida;22,50%;34.588;61.968;-6,3 pp;-43,97%;-39,19%
Entorn de Barcelona;25,90%;110.872;207.736;-29,5 pp;-71,77%;-81,27%
Barcelonès;27,70%;167.684;373.627;-46,3 pp;-79,98%;-81,64%
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;
Nota: Les variacions 21/20 estan disponibles, tant sols, per algunes províncies i algunes tipologies d’allotjament. La resta no són calculables (nc) degut a que;;;;;;
les dades de 2020 són “0” o prop de “0”  pel tancament forçós arrel de la crisi sanitària de la COVID-19.;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
