VARIACIONS INTERANUALS MERCAT DOMÈSTIC;;;;;;;
;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;143,4%;111,6%;;;;;
Càmpings;381,5%;216,0%;;;;;
Turisme Rural;4237,2%;2407,3%;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-24,1%;-21,8%;;;;;
Càmpings;-35,4%;-37,7%;;;;;
Turisme Rural;19,7%;39,4%;;;;;
;;;;;;;
MERCAT DOMÈSTIC;ESTADA MITJANA;;;;;;
Hotels;1,9;;;;;;
Càmpings;2,4;;;;;;
Turisme Rural;1,9;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
;;;;;;;
