VARIACIONS INTERANUALS MERCAT ESTRANGER;;;;;;;
;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;540,9%;531,3%;;;;;
Càmpings;1680,5%;604,6%;;;;;
Turisme Rural;#¡DIV/0!;#¡DIV/0!;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-57,1%;-45,4%;;;;;
Càmpings;6,6%;-22,6%;;;;;
Turisme Rural;-64,7%;-64,5%;;;;;
;;;;;;;
MERCAT DOMÈSTIC;ESTADA MITJANA;;;;;;
Hotels;2,4;;;;;;
Càmpings;4,1;;;;;;
Turisme Rural;1,6;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
;;;;;;;
