ESTABLIMENTS HOTELERS NOVEMBRE 2021;;;;;;;;;;
;;;;;;;;;;
;Viatgers;Var.Inter.Viatgers 20 (%);Var.Inter.Viatgers 19 (%);Pernoctacions;Var. Inter.Pern. 20 (%);Var. Inter.Pern 19 (%);Ocupació (%);Var. Inter.Ocu 20 (en pp);Var. Inter.Ocu 19 (en pp);
Girona;131.461;518,6%;-20,7%;240.817;533,4%;-26,2%;31,9;21,62;-0,5;
Tarragona;71.943;435,6%;-20,0%;115.322;353,8%;-30,4%;26,4;12,4;-3,9;
Lleida;36.746;311,5%;-18,0%;62.847;230,2%;-18,2%;25,0;14,9;-0,6;
Entorn de Barcelona;126.688;207,4%;-41,2%;267.156;187,2%;-34,2%;0,0;-17,3;-41,1;
Barcelonès;457.489;672,7%;-33,5%;1.143.310;1001,8%;-29,4%;-11,9;38,6;-11,9;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
