SINTESI NOVEMBRE 2021;;;;;;;;
;;;;;;;;
;Número;var. Interanual '20 (%);var. Interanual '19 (%);;;;;
Viatgers;157.142;249,9%;-39,2%;;;;;
Pernoctacions;339.345;215,3%;-33,7%;;;;;
Establiments allotjaments oberts;928;37,5%;-9,1%;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;67,2%;32,8%;;;;;;
Pernoctacions;61,6%;38,4%;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
;;;;;;;;
