VARIACIONS INTERANUALS MERCAT DOMÈSTIC;;;;;;;
;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;140,0%;144,4%;;;;;
Càmpings;20,7%;55,7%;;;;;
Turisme Rural;279,6%;244,0%;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-15,3%;-12,1%;;;;;
Càmpings;21,6%;56,4%;;;;;
Turisme Rural;19,7%;39,4%;;;;;
;;;;;;;
MERCAT DOMÈSTIC;ESTADA MITJANA;;;;;;
Hotels;2,0;;;;;;
Càmpings;2,9;;;;;;
Turisme Rural;2,0;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
;;;;;;;
