VARIACIONS INTERANUALS MERCAT ESTRANGER;;
% var. Interanual 21/20;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;537,6%;661,7%
Càmpings;505,1%;249,3%
Turisme Rural;4750,0%;4489,3%
;;
% var. Interanual 21/19;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;-61,5%;-64,5%
Càmpings;-34,9%;-33,7%
Turisme Rural;-64,7%;-64,5%
;;
MERCAT ESTRANGER;ESTADA MITJANA;
Hotels;3,0;
Càmpings;4,6;
Turisme Rural;1,9;
;;
;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;
