ESTABLIMENTS HOTELERS OCTUBRE 2021;;;;;;;;;;
;;;;;;;;;;
;Viatgers;Var.Inter.Viatgers 20 (%);Var.Inter.Viatgers 19 (%);Pernoctacions;Var. Inter.Pern. 20 (%);Var. Inter.Pern 19 (%);Ocupació (%);Var. Inter.Ocu 20 (en pp);Var. Inter.Ocu 19 (en pp);
Girona;292.918;209,9%;-14,2%;666.976;289,3%;-32,0%;43,9;20,88;-6,21;
Tarragona;206.162;260,9%;-10,8%;455.118;371,3%;-40,6%;43,3;22,1;-9,1;
Lleida;70.002;122,8%;1,9%;123.610;114,7%;8,1%;33,2;13,0;3,9;
Entorn de Barcelona;204.839;211,0%;-43,3%;498.599;262,2%;-50,1%;39,0;19,7;-18,3;
Barcelonès;523.754;520,1%;-36,3%;1.336.932;700,9%;-32,0%;42,1;42,1;-15,5;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
