POSICIONAMENT ESTABLIMENTS TURISME RURAL OCTUBRE 2021;;;;;;;;;;
;;;;;;;;;;
;Viatgers;Var.Inter.Viatgers 20 (%);Var.Inter.Viatgers 19 (%);Pernoctacions;Var. Inter.Pern. 20 (%);Var. Inter.Pern 19 (%);Ocupació (%);Var. Inter.Ocu 20 (en pp);Var. Inter.Ocu 19 (en pp);
Girona;22.305;117,7%;43,0%;45.856;128,7%;50,7%;23,8;13,3;9,2;
Tarragona;4.420;108,1%;13,3%;10.126;105,8%;26,6%;15,5;8,5;5,1;
Lleida;10.548;288,1%;62,4%;23.688;105,8%;26,6%;18,9;11,4;9,5;
Entorn de Barcelona;15.308;295,8%;8,2%;31.217;257,7%;24,4%;21,7;14,7;6,2;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
