SINTESI OCTUBRE 2021;;;;;;;;
;;;;;;;;
;Número;var. Interanual '20 (%);var. Interanual '19 (%);;;;;
Viatgers;274.535;151,0%;-43,9%;;;;;
Pernoctacions;702.931;187,7%;-59,6%;;;;;
Establiments allotjaments oberts;986;21,3%;-11,9%;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;65,7%;34,3%;;;;;;
Pernoctacions;55,2%;44,8%;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
;;;;;;;;
