VARIACIONS INTERANUALS TURISME RURAL;;;;;;;;;;;
% var. Interanual '20;;;;;;;;;;;
;;;;;;;;;;;
TURISME RURAL;Alt Penedès;Anoia;Bages;Baix Llobregat;Berguedà;Garraf;Maresme;Moianès;Osona;Vallès Occidental;Vallès Oriental
Viatgers;27,9%;105,5%;379,5%;ND;42,2%;230,4%;54,8%;150,5%;174,9%;ND;22,9%
Pernoctacions;45,6%;75,1%;391,4%;ND;-7,8%;228,6%;50,7%;138,6%;178,8%;ND;54,1%
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a les dades de Tourism Data System.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
