VARIACIONS INTERANUALS MERCAT DOMÈSTIC;;;;;;;
;;;;;;;
% var. Interanual 21/20;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;46,1%;52,4%;;;;;
Càmpings;0,3%;17,8%;;;;;
Turisme Rural;29,7%;10,4%;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
MERCAT DOMÈSTIC;VIATGERS;PERNOCTACIONS;;;;;
Establiments hotelers;-16,2%;-16,4%;;;;;
Càmpings;1,7%;3,1%;;;;;
Turisme Rural;4,2%;3,9%;;;;;
;;;;;;;
MERCAT DOMÈSTIC;ESTADA MITJANA;;;;;;
Hotels;2,1;;;;;;
Càmpings;3,5;;;;;;
Turisme Rural;2,0;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
;;;;;;;
