VARIACIONS INTERANUALS MERCAT ESTRANGER;;
% var. Interanual 21/20;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;356,9%;498,9%
Càmpings;414,8%;321,9%
Turisme Rural;1177,6%;554,5%
;;
% var. Interanual 21/19;;
MERCAT ESTRANGER;VIATGERS;PERNOCTACIONS
Establiments hotelers;-68,9%;-73,0%
Càmpings;-59,2%;-52,2%
Turisme Rural;-35,7%;-38,7%
;;
MERCAT ESTRANGER;ESTADA MITJANA;
Hotels;3,7;
Càmpings;6,0;
Turisme Rural;2,3;
;;
;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;
