ESTABLIMENTS HOTELERS SETEMBRE 2021;;;;;;;;;;
;;;;;;;;;;
;Viatgers;Var.Inter.Viatgers 20 (%);Var.Inter.Viatgers 19 (%);Pernoctacions;Var. Inter.Pern. 20 (%);Var. Inter.Pern 19 (%);Ocupació (%);Var. Inter.Ocu 20 (en pp);Var. Inter.Ocu 19 (en pp);
Girona;339.925;45,1%;-25,1%;934.369;92,0%;-39,4%;44,0;13,94;-16,9;
Tarragona;262.217;79,6%;-27,9%;749.150;143,5%;-51,5%;42,4;11,2;-27,6;
Lleida;71.811;29,6%;-8,0%;136.650;22,4%;-4,2%;33,4;4,9;0,1;
Entorn de Barcelona;195.523;94,3%;-51,0%;539.845;149,6%;-61,6%;36,3;13,1;-32,4;
Barcelonès;436.394;377,7%;-43,3%;1.110.120;521,9%;-42,5%;58,7;38,3;-13,7;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
