Aiguafreda	41.76798618	2.25054463	topo1	Aiguafreda	1
Abrera	41.51617119	1.90260158	topo1	Abrera	1
Abella de la Conca	42.16144193	1.09247165	topo1	Abella de la Conca	1
Aguilar de Segarra	41.73916911	1.63196601	topo1	Aguilar de Segarra	1
Aiguamúrcia	41.34740998	1.36314912	topo1	Aiguamúrcia	1
Alamús, els	41.61588862	0.73953623	topo1	els Alamús	0
Agramunt	41.78723928	1.09885925	topo1	Agramunt	1
Albanyà	42.30422037	2.71976685	topo1	Albanyà	1
Albagés, l'	41.44911403	0.73902318	topo1	l Albagés	0
Aiguaviva	41.93831797	2.76175917	topo1	Aiguaviva	1
Albinyana	41.24574482	1.48636413	topo1	Albinyana	1
Albatàrrec	41.57307599	0.60415896	topo1	Albatàrrec	1
Albiol, l'	41.25205057	1.08912679	topo1	l Albiol	0
Albesa	41.75136441	0.66040759	topo1	Albesa	1
Albons	42.10439847	3.08528857	topo1	Albons	1
Alcanar	40.5432439	0.48077067	topo1	Alcanar	1
Alcarràs	41.56312845	0.52520082	topo1	Alcarràs	1
Alcover	41.2629114	1.16885828	topo1	Alcover	1
Aldea, l'	40.74726814	0.62237072	topo1	l Aldea	0
Agullana	42.3938047	2.84667014	topo1	Agullana	1
Aleixar, l'	41.20163188	1.04619312	topo1	l Aleixar	0
Alella	41.49373217	2.29495693	topo1	Alella	1
Alfarràs	41.82951572	0.57044997	topo1	Alfarràs	1
Alforja	41.21035935	0.97541319	topo1	Alforja	1
Algerri	41.81608336	0.63853796	topo1	Algerri	1
Alfés	41.52161842	0.62100072	topo1	Alfés	1
Alfara de Carles	40.87334487	0.40056526	topo1	Alfara de Carles	1
Alguaire	41.73635395	0.58383042	topo1	Alguaire	1
Almacelles	41.73174426	0.43709454	topo1	Almacelles	1
Almatret	41.30532865	0.42413571	topo1	Almatret	1
Almenar	41.797844	0.56789509	topo1	Almenar	1
Almoster	41.19774418	1.11359779	topo1	Almoster	1
Alp	42.37256345	1.88538909	topo1	Alp	1
Alpicat	41.66663438	0.55519829	topo1	Alpicat	1
Aitona	41.49415635	0.45887547	topo1	Aitona	1
Aldover	40.87990045	0.50005847	topo1	Aldover	1
Albi, l'	41.42289588	0.93657985	topo1	l Albi	0
Alòs de Balaguer	41.91225793	0.96109504	topo1	Alòs de Balaguer	1
Amposta	40.71330218	0.58108201	topo1	Amposta	1
Amer	42.00924462	2.60301889	topo1	Amer	1
Ametlla de Mar, l'	40.88395787	0.80316591	topo1	l Ametlla de Mar	0
Ametlla del Vallès, l'	41.67330125	2.25925558	topo1	l Ametlla del Vallès	0
Anglès	41.95744641	2.64005865	topo1	Anglès	1
Ampolla, l'	40.81225126	0.71014087	topo1	l Ampolla	0
Alcoletge	41.64730417	0.69416188	topo1	Alcoletge	1
Alàs i Cerc	42.35269751	1.50763901	topo1	Alàs i Cerc	1
Alt Àneu	42.63273666	1.10936934	topo1	Alt Àneu	1
Arenys de Munt	41.60899336	2.54038107	topo1	Arenys de Munt	1
Arbolí	41.24234715	0.94872455	topo1	Arbolí	1
Arenys de Mar	41.57938543	2.55149756	topo1	Arenys de Mar	1
Arbeca	41.54165167	0.9241543	topo1	Arbeca	1
Arboç, l'	41.26763802	1.60352186	topo1	l Arboç	0
Arbúcies	41.81608058	2.51416795	topo1	Arbúcies	1
Altafulla	41.14275013	1.37605008	topo1	Altafulla	1
Alins	42.54879499	1.31747269	topo1	Alins	1
Alpens	42.11932091	2.10127267	topo1	Alpens	1
Anglesola	41.6588682	1.08137944	topo1	Anglesola	1
Argelaguer	42.21317776	2.64158377	topo1	Argelaguer	1
Arres	42.75512059	0.7117209	topo1	Arres	1
Artesa de Segre	41.8956921	1.04532859	topo1	Artesa de Segre	1
Arsèguel	42.35019416	1.58263019	topo1	Arsèguel	1
Armentera, l'	42.1721013	3.07452397	topo1	l Armentera	0
Aspa	41.49559161	0.67232501	topo1	Aspa	1
