CUSEC,vivienda turistica,plazas,plazas por vivienda turistica,Porcentaje vivienda turistica,PERIODO,PROV,MUN_LITERAL
0800101009,0,0,0.0,0.0,2025M11,8,Abrera
0800101007,3,17,5.6666665,0.23041475,2025M11,8,Abrera
0800101001,0,0,0.0,0.0,2025M11,8,Abrera
0800101003,1,14,14.0,0.32467532,2025M11,8,Abrera
0800101002,0,0,0.0,0.0,2025M11,8,Abrera
0800101005,0,0,0.0,0.0,2025M11,8,Abrera
0800101008,0,0,0.0,0.0,2025M11,8,Abrera
0800101004,3,8,2.6666667,0.36014405,2025M11,8,Abrera
0800201001,2,20,10.0,1.3245033,2025M11,8,Aguilar de Segarra
0800301004,15,96,6.4,1.633987,2025M11,8,Alella
0800301005,3,21,7.0,0.0,2025M11,8,Alella
0800301002,14,89,6.357143,1.3986014,2025M11,8,Alella
0800301001,4,29,7.25,0.34129694,2025M11,8,Alella
0800301003,9,51,5.6666665,1.0380623,2025M11,8,Alella
0800401001,9,50,5.5555553,3.7344398,2025M11,8,Alpens
0800501004,0,0,0.0,0.0,2025M11,8,"Ametlla del Vallès, L'"
0800501005,0,0,0.0,0.0,2025M11,8,"Ametlla del Vallès, L'"
0800501002,2,4,2.0,0.25510204,2025M11,8,"Ametlla del Vallès, L'"
0800501003,7,34,4.857143,0.6986028,2025M11,8,"Ametlla del Vallès, L'"
0800501001,4,21,5.25,0.38387716,2025M11,8,"Ametlla del Vallès, L'"
0800602001,14,56,4.0,1.432958,2025M11,8,Arenys de Mar
0800601004,17,108,6.352941,1.4834206,2025M11,8,Arenys de Mar
0800601002,4,19,4.75,0.39177278,2025M11,8,Arenys de Mar
0800602002,13,52,4.0,1.2858555,2025M11,8,Arenys de Mar
0800601001,17,64,3.764706,1.1913104,2025M11,8,Arenys de Mar
0800602004,1,4,4.0,0.16778524,2025M11,8,Arenys de Mar
0800601003,0,0,0.0,0.0,2025M11,8,Arenys de Mar
0800602005,0,0,0.0,0.0,2025M11,8,Arenys de Mar
0800602003,14,80,5.714286,1.5748031,2025M11,8,Arenys de Mar
0800701003,5,20,4.0,0.0,2025M11,8,Arenys de Munt
0800701001,4,16,4.0,0.50825924,2025M11,8,Arenys de Munt
0800702002,3,12,4.0,0.2749771,2025M11,8,Arenys de Munt
0800702001,20,107,5.35,1.8066847,2025M11,8,Arenys de Munt
0800701002,0,0,0.0,0.0,2025M11,8,Arenys de Munt
0800801001,4,32,8.0,2.366864,2025M11,8,Argençola
0800901005,1,4,4.0,0.2375297,2025M11,8,Argentona
0800902003,1,4,4.0,0.18050541,2025M11,8,Argentona
0800901002,1,4,4.0,0.1303781,2025M11,8,Argentona
0800901001,4,16,4.0,1.0928962,2025M11,8,Argentona
0800901003,1,4,4.0,0.30864197,2025M11,8,Argentona
0800901006,6,33,5.5,0.7490637,2025M11,8,Argentona
0800901004,21,112,5.3333335,2.5925925,2025M11,8,Argentona
0800902001,1,4,4.0,0.19417475,2025M11,8,Argentona
0800902002,1,4,4.0,0.15037595,2025M11,8,Argentona
0801001001,1,4,4.0,0.15455951,2025M11,8,Artés
0801002001,0,0,0.0,0.0,2025M11,8,Artés
0801002003,1,6,6.0,0.13550135,2025M11,8,Artés
0801002002,3,15,5.0,0.5319149,2025M11,8,Artés
0801101001,16,103,6.4375,1.4453478,2025M11,8,Avià
0801201001,3,23,7.6666665,0.26954177,2025M11,8,Avinyó
0801301001,11,69,6.2727275,1.2249444,2025M11,8,Avinyonet del Penedès
0801401001,11,83,7.5454545,0.84745765,2025M11,8,Aiguafreda
0801509058,2,8,4.0,0.29325512,2025M11,8,Badalona
0801509057,2,6,3.0,0.3809524,2025M11,8,Badalona
0801509043,1,2,2.0,0.1577287,2025M11,8,Badalona
0801509052,0,0,0.0,0.0,2025M11,8,Badalona
0801509045,0,0,0.0,0.0,2025M11,8,Badalona
0801509053,0,0,0.0,0.0,2025M11,8,Badalona
0801509042,0,0,0.0,0.0,2025M11,8,Badalona
0801509059,2,6,3.0,0.35906643,2025M11,8,Badalona
0801509047,2,7,3.5,0.4950495,2025M11,8,Badalona
0801509032,4,13,3.25,0.9708738,2025M11,8,Badalona
0801509033,0,0,0.0,0.0,2025M11,8,Badalona
0801509031,2,8,4.0,0.46948355,2025M11,8,Badalona
0801509024,0,0,0.0,0.0,2025M11,8,Badalona
0801509034,1,2,2.0,0.14084508,2025M11,8,Badalona
0801509026,0,0,0.0,0.0,2025M11,8,Badalona
0801509023,0,0,0.0,0.0,2025M11,8,Badalona
0801509025,0,0,0.0,0.0,2025M11,8,Badalona
0801509022,3,14,4.6666665,0.51993066,2025M11,8,Badalona
0801509020,0,0,0.0,0.0,2025M11,8,Badalona
0801509027,1,2,2.0,0.2512563,2025M11,8,Badalona
0801509019,4,7,1.75,0.7782101,2025M11,8,Badalona
0801509021,2,3,1.5,0.32102728,2025M11,8,Badalona
0801509018,1,10,10.0,0.15151516,2025M11,8,Badalona
0801509016,2,6,3.0,0.3030303,2025M11,8,Badalona
0801509012,1,2,2.0,0.15698586,2025M11,8,Badalona
0801509009,0,0,0.0,0.0,2025M11,8,Badalona
0801509010,0,0,0.0,0.0,2025M11,8,Badalona
0801509006,0,0,0.0,0.0,2025M11,8,Badalona
0801509013,0,0,0.0,0.0,2025M11,8,Badalona
0801509003,3,16,5.3333335,0.6451613,2025M11,8,Badalona
0801509002,2,4,2.0,0.33783785,2025M11,8,Badalona
0801509011,0,0,0.0,0.0,2025M11,8,Badalona
0801509005,0,0,0.0,0.0,2025M11,8,Badalona
0801507030,1,2,2.0,0.14619882,2025M11,8,Badalona
0801508013,0,0,0.0,0.0,2025M11,8,Badalona
0801508012,1,3,3.0,0.10764263,2025M11,8,Badalona
0801508009,2,3,1.5,0.36832413,2025M11,8,Badalona
0801508014,0,0,0.0,0.0,2025M11,8,Badalona
0801509001,12,55,4.5833335,1.5978695,2025M11,8,Badalona
0801508003,0,0,0.0,0.0,2025M11,8,Badalona
0801508004,1,1,1.0,0.33783785,2025M11,8,Badalona
0801508011,0,0,0.0,0.0,2025M11,8,Badalona
0801508005,0,0,0.0,0.0,2025M11,8,Badalona
0801508006,1,1,1.0,0.15360983,2025M11,8,Badalona
0801508008,2,3,1.5,0.2528445,2025M11,8,Badalona
0801507031,0,0,0.0,0.0,2025M11,8,Badalona
0801507022,1,17,17.0,0.28735632,2025M11,8,Badalona
0801507023,4,14,3.5,0.43383947,2025M11,8,Badalona
0801507024,0,0,0.0,0.0,2025M11,8,Badalona
0801507029,2,4,2.0,0.25188917,2025M11,8,Badalona
0801507008,9,22,2.4444444,1.5544041,2025M11,8,Badalona
0801507021,0,0,0.0,0.0,2025M11,8,Badalona
0801507014,5,18,3.6,0.66050196,2025M11,8,Badalona
0801507010,3,11,3.6666667,0.8,2025M11,8,Badalona
0801507017,1,2,2.0,0.08264463,2025M11,8,Badalona
0801507020,0,0,0.0,0.0,2025M11,8,Badalona
0801507015,0,0,0.0,0.0,2025M11,8,Badalona
0801508007,1,2,2.0,0.17889088,2025M11,8,Badalona
0801507007,4,8,2.0,0.9546539,2025M11,8,Badalona
0801507005,2,6,3.0,0.5235602,2025M11,8,Badalona
0801504017,1,8,8.0,0.0,2025M11,8,Badalona
0801507009,0,0,0.0,0.0,2025M11,8,Badalona
0801507006,0,0,0.0,0.0,2025M11,8,Badalona
0801507011,1,6,6.0,0.106496274,2025M11,8,Badalona
0801507001,6,27,4.5,0.7802341,2025M11,8,Badalona
0801507003,0,0,0.0,0.0,2025M11,8,Badalona
0801508002,0,0,0.0,0.0,2025M11,8,Badalona
0801505001,4,10,2.5,0.37700284,2025M11,8,Badalona
0801507002,0,0,0.0,0.0,2025M11,8,Badalona
0801505002,2,6,3.0,0.5730659,2025M11,8,Badalona
0801507028,1,5,5.0,0.1267427,2025M11,8,Badalona
0801507013,5,22,4.4,0.5399568,2025M11,8,Badalona
0801506004,1,1,1.0,0.19646366,2025M11,8,Badalona
0801507018,0,0,0.0,0.0,2025M11,8,Badalona
0801506005,0,0,0.0,0.0,2025M11,8,Badalona
0801506003,0,0,0.0,0.0,2025M11,8,Badalona
0801506002,6,46,7.6666665,0.8888889,2025M11,8,Badalona
