Abella de la Conca	Lleida	6
Abrera	Barcelona	6
Agramunt	Lleida	10
Aguilar de Segarra	Barcelona	1
Agullana	Girona	14
Aiguafreda	Barcelona	9
Aiguamúrcia	Tarragona	16
Aiguaviva	Girona	4
Aitona	Lleida	3
Alamús, els	Lleida	1
Albagés, l'	Lleida	2
Albanyà	Girona	7
Albatàrrec	Lleida	1
Albesa	Lleida	1
Albi, l'	Lleida	2
Albinyana	Tarragona	10
Albiol, l'	Tarragona	5
Albons	Girona	67
Alcanar	Tarragona	497
Alcarràs	Lleida	1
Alcoletge	Lleida	2
Alcover	Tarragona	11
Aldea, l'	Tarragona	27
Aldover	Tarragona	9
Aleixar, l'	Tarragona	4
Alella	Barcelona	146
Alfara de Carles	Tarragona	17
Alfarràs	Lleida	2
Alforja	Tarragona	30
Alfés	Lleida	1
Algerri	Lleida	2
Alguaire	Lleida	2
Alins	Lleida	33
Almacelles	Lleida	2
Almatret	Lleida	3
Almenar	Lleida	2
Almoster	Tarragona	7
Alp	Girona	306
Alpens	Barcelona	11
Alpicat	Lleida	3
Alt Àneu	Lleida	96
Altafulla	Tarragona	340
Alàs i Cerc	Lleida	8
Alòs de Balaguer	Lleida	7
Amer	Girona	21
Ametlla de Mar, l'	Tarragona	1801
Ametlla del Vallès, l'	Barcelona	19
Ampolla, l'	Tarragona	686
Amposta	Tarragona	214
Anglesola	Lleida	1
Anglès	Girona	7
Arbeca	Lleida	11
Arbolí	Tarragona	10
Arboç, l'	Tarragona	8
Arbúcies	Girona	45
Arenys de Mar	Barcelona	231
Arenys de Munt	Barcelona	82
Argelaguer	Girona	9
Argentera, l'	Tarragona	3
Argentona	Barcelona	63
Argençola	Barcelona	3
Armentera, l'	Girona	26
Arnes	Tarragona	23
Arres	Lleida	6
Arsèguel	Lleida	4
Artesa de Lleida	Lleida	1
Artesa de Segre	Lleida	16
Artés	Barcelona	4
Ascó	Tarragona	2
Aspa	Lleida	2
Avellanes i Santa Linya, les	Lleida	16
Avinyonet de Puigventós	Girona	7
Avinyonet del Penedès	Barcelona	19
Avinyó	Barcelona	5
Badalona	Barcelona	223
Baix Pallars	Lleida	19
Balaguer	Lleida	32
Balenyà	Barcelona	3
Balsareny	Barcelona	3
Banyeres del Penedès	Tarragona	15
Banyoles	Girona	103
Barberà de la Conca	Tarragona	6
Barberà del Vallès	Barcelona	10
Barcelona	Barcelona	10646
Baronia de Rialb, la	Lleida	19
Bassella	Lleida	1
Batea	Tarragona	5
Bausen	Lleida	3
Begues	Barcelona	12
Begur	Girona	1771
Belianes	Lleida	1
Bellaguarda	Lleida	4
Bellcaire d'Empordà	Girona	50
Bellcaire d'Urgell	Lleida	5
Bellmunt d'Urgell	Lleida	4
Bellmunt del Priorat	Tarragona	1
